SR NO.,Player,Match,Inns,NOT OUT,Runs,HS,Ave,SR,BF,100,50
451,PR Downton,28,20,5,242,44,16.13,67.59,358,0,2
452,BM Duckett,11,11,1,395,107,39.5,93.16,424,3,2
453,MA Ealham,64,45,4,716,45,17.46,65.56,1092,0,4
454,PH Edmonds,29,18,7,116,20,10.54,50,232,0,3
455,JH Edrich,7,6,0,223,90,37.16,68.61,325,2,0
456,RM Ellison,14,12,4,86,24,10.75,78.18,110,0,0
457,JE Emburey,61,45,10,501,34,14.31,75.45,664,0,3
458,NH Fairbrother,75,71,18,2092,113,39.47,72.06,2903,16,2
459,ST Finn,69,30,13,136,35,8,60.98,223,0,7
460,MV Fleming,11,10,1,139,33,15.44,101.45,137,0,1
461,KWR Fletcher,24,22,3,757,131,39.84,66.75,1134,5,0
462,A Flintoff,138,119,16,3293,123,31.97,89.14,3694,18,9
463,BT Foakes,1,1,1,61,61,0,80.26,76,1,0
464,JS Foster,11,6,3,41,13,13.66,57.74,71,0,0
465,NA Foster,48,25,12,150,24,11.53,61.47,244,0,3
466,G Fowler,26,26,2,744,81,31,56.32,1321,4,2
467,PJ Franks,1,1,0,4,4,4,23.52,17,0,0
468,ARC Fraser,42,20,9,141,38,12.81,67.78,208,0,1
469,BN French,13,8,3,34,9,6.8,47.88,71,0,2
470,MW Gatting,92,88,17,2095,115,29.5,70.58,2968,9,4
471,AF Giles,62,35,13,385,41,17.5,69.87,551,0,2
472,GA Gooch,125,122,6,4290,142,36.98,61.88,6933,23,4
473,D Gough,158,87,38,609,46,12.42,64.3,947,0,10
474,IJ Gould,18,14,2,155,42,12.91,63.78,243,0,2
475,DI Gower,114,111,8,3170,158,30.77,75.15,4218,12,6
476,AP Grayson,2,2,0,6,6,3,46.15,13,0,1
477,L Gregory,3,2,0,117,77,58.5,100.86,116,1,0
478,AW Greig,22,19,3,269,48,16.81,71.16,378,0,1
479,HF Gurney,10,6,4,15,6,7.5,45.45,33,0,0
480,SR Hain,2,2,0,106,89,53,106,100,1,0
481,AD Hales,70,67,3,2419,171,37.79,95.72,2527,14,5
482,JH Hampshire,3,3,1,48,25,24,55.81,86,0,0
483,SJ Harmison,58,25,14,91,18,8.27,64.53,141,0,3
484,TW Hartley,2,1,1,12,12,0,133.33,9,0,0
485,FC Hayes,6,6,1,128,52,25.6,54.46,235,1,0
486,DW Headley,13,6,4,22,10,11,44.89,49,0,1
487,EE Hemmings,33,12,6,30,8,5,49.18,61,0,1
488,M Hendrick,22,10,5,6,2,1.2,27.27,22,0,3
489,GA Hick,120,118,15,3846,126,37.33,74.08,5192,27,10
490,MJ Hoggard,26,6,2,17,7,4.25,56.66,30,0,1
491,AJ Hollioake,35,30,6,606,83,25.25,75.09,807,3,1
492,BC Hollioake,20,17,2,309,63,20.6,81.1,381,2,3
493,GW Humpage,3,2,0,11,6,5.5,45.83,24,0,0
494,N Hussain,88,87,10,2332,115,30.28,66.99,3481,16,6
495,AP Igglesden,4,3,1,20,18,10,64.51,31,0,1
496,R Illingworth,3,2,0,5,4,2.5,27.77,18,0,0
497,RK Illingworth,25,11,5,68,14,11.33,57.14,119,0,0
498,RC Irani,31,30,5,360,53,14.4,65.57,549,1,7
499,RD Jackman,15,9,1,54,14,6.75,58.06,93,0,1
500,WG Jacks,7,7,0,276,94,39.42,106.15,260,2,0
501,JA Jameson,3,3,0,60,28,20,37.97,158,0,0
502,PW Jarvis,16,8,2,31,16,5.16,79.48,39,0,2
503,TE Jesty,10,10,4,127,52,21.16,69.78,182,1,2
504,RL Johnson,10,4,1,16,10,5.33,80,20,0,1
505,GO Jones,49,41,8,815,80,24.69,78.21,1042,4,1
506,SP Jones,8,1,0,1,1,1,50,2,0,0
507,CJ Jordan,35,24,9,184,38,12.26,87.2,211,0,3
508,EC Joyce,17,17,0,471,107,27.7,66.43,709,3,1
509,RWT Key,5,5,0,54,19,10.8,40,135,0,1
510,C Kieswetter,46,40,5,1054,107,30.11,89.93,1172,5,4
511,RJ Kirtley,11,2,0,2,1,1,18.18,11,0,0
512,NV Knight,100,100,10,3637,125,40.41,71.52,5085,25,6
513,APE Knott,20,14,4,200,50,20,80.97,247,1,2
514,AJ Lamb,122,118,16,4010,118,39.31,75.54,5308,26,8
515,W Larkins,25,24,0,591,124,24.62,56.44,1047,0,3
516,JK Lever,22,11,4,56,27,8,36.84,152,0,1
517,P Lever,10,3,2,17,8,17,70.83,24,0,0
518,CC Lewis,53,40,14,374,33,14.38,81.48,459,0,6
519,J Lewis,13,8,2,50,17,8.33,79.36,63,0,0
520,LS Livingstone,25,22,3,558,95,29.36,102.95,542,3,2
521,D Lloyd,8,8,1,285,116,40.71,54.18,526,0,0
522,GD Lloyd,6,5,1,39,22,9.75,48.75,80,0,2
523,TA Lloyd,3,3,0,101,49,33.66,44.29,228,0,0
524,JD Love,3,3,0,61,43,20.33,61,100,0,0
525,MB Loye,7,7,0,142,45,20.28,77.17,184,0,1
526,BW Luckhurst,3,3,0,15,14,5,21.73,69,0,1
527,MJ Lumb,3,3,0,165,106,55,81.28,203,0,0
528,MA Lynch,3,3,0,8,6,2.66,25,32,0,1
529,A McGrath,14,12,2,166,52,16.6,47.02,353,1,1
530,DL Maddy,8,6,0,113,53,18.83,54.85,206,1,1
531,S Mahmood,8,2,0,20,12,10,64.51,31,0,0
